Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-032989,2015-07,07/04/2015 00:10,Y, , ,1, , 63701,2,LARCENY-SHOPLIFT UNDER $500,7339,GRAVOIS AVE,88, ,@WALGREENS - GRAVOIS AND HAMPTON,7339,GRAVOIS,878828.2,994423.4
15-033095,2015-07,07/04/2015 00:15,Y, , ,1, , 71040,1,AUTO THEFT-PERM RETNT/ATTEMPT,514,DOVER PL,1, , ,514,DOVER,892001.8,993845.9
15-032993,2015-07,07/04/2015 00:20,Y, , ,1, ,266510,2,PUBLIC ORDER-TRESPASSING,4968,FAIRVIEW AVE,14, , ,4968,FAIRVIEW,884818,1006675
15-033722,2015-07,07/04/2015 00:30,Y, , ,1, , 72113,3,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,2630,INDIANA AVE,22, ,1ST FLR RIGHT HAND DOOR,2630,INDIANA,899830.4,1008762
15-032991,2015-07,07/04/2015 00:30,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4839,NEBRASKA AVE,17, , ,4839,NEBRASKA,895115.6,995949.9
15-038130,2015-07,07/04/2015 00:45,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2917,S JEFFERSON AVE,30, , ,2917,JEFFERSON,898986.3,1007661
15-032995,2015-07,07/04/2015 00:50,Y, , ,1, , 43015,3,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,3725,OHIO AVE,19, , ,3725,OHIO,897575.9,1002873
15-033239,2015-07,07/04/2015 01:00,Y, , ,1, , 64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3925,LINDELL BLVD,38,CVS, ,3925,LINDELL,894199,1021580
15-033291,2015-07,07/04/2015 01:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,BADEN AVE / HALL ST,79, , ,8200,HALL,897848.6,1048363
15-032998,2015-07,07/04/2015 01:00,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,0,4500 S BROADWAY / I 55 SOUTHBO,17, , , , ,0,0
15-033003,2015-07,07/04/2015 01:10,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5896,DELMAR BLVD,46, , ,5896,DELMAR,880077.9,1027128
15-033001,2015-07,07/04/2015 01:15,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3928,N 25TH ST,65, , ,3928,25TH,903269.3,1029563
15-032997,2015-07,07/04/2015 01:16,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,3219,CHEROKEE ST,30, , ,3225,CHEROKEE,895201.1,1005622
15-033006,2015-07,07/04/2015 01:22,Y, , ,1, ,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1000,KUHS PL,44, , ,1000,KUHS,875461.2,1019327
15-033047,2015-07,07/04/2015 01:30,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N BEAUMONT ST / WASHINGTON AVE,37, , , , ,901360.3,1020374
15-033306,2015-07,07/04/2015 02:30,Y, , ,1, , 44012,1,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 2ND DEGRE",120,E CATALAN ST,2, , ,120,CATALAN,887220.5,985337
15-033009,2015-07,07/04/2015 02:30,Y, , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",2321,UNION BLVD,50, , ,1620,UNION,887226.5,1032855
15-033010,2015-07,07/04/2015 02:40,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,I 70 EASTBOUND / SALISBURY ST,65, ,ALIAS I 70 EB/SALISBURY, , ,906592.7,1029999
15-033015,2015-07,07/04/2015 02:50,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",800,N COLLINS ST,35, , ,999,2ND,910220.6,1019017
15-033014,2015-07,07/04/2015 03:10,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,CASS AVE / I 70 EASTBOUND,62, ,ALIAS I 70 EB/N BROADWAY, , ,909501.6,1021926
15-033018,2015-07,07/04/2015 03:30,Y, , ,1, ,263299,6,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,BIRCHER BLVD / UNION BLVD,71, , , , ,891444.2,1039774
15-033019,2015-07,07/04/2015 04:00,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5151,CABANNE AVE,51, , ,5100,CABANNE,886432.8,1028052
15-033020,2015-07,07/04/2015 05:11,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3504,SHENANDOAH AVE,25,STREET, ,3504,SHENANDOAH,894836.8,1010825
15-033021,2015-07,07/04/2015 05:16,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,ADELAIDE AVE / I 70 EASTBOUND,66, , ,400,BARTON,902602.9,1036399
15-033025,2015-07,07/04/2015 05:30,Y, , ,1, , 69711,6,LARCENY-ALL OTHER UNDER $500  /ATTEMPT,4238,W SAN FRANCISCO AVE,68, , , ,SAN FRANCISCO,896223.1,1033002
15-033022,2015-07,07/04/2015 05:35,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,2309,SALISBURY ST,65, , ,2309,SALISBURY,903682.9,1028882
15-033028,2015-07,07/04/2015 05:52,Y, , ,1, , 31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4467,S SPRING AVE,16, ,RESIDENCE,4467,SPRING,890856.3,1000080
15-033026,2015-07,07/04/2015 05:54,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3925,LINDELL BLVD,38, , , , ,894199,1021580
15-033027,2015-07,07/04/2015 06:20,Y, , ,1, , 31112,3,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,3205,PESTALOZZI ST,25, , ,3524,WASHINGTON,895865.8,1008850
15-033029,2015-07,07/04/2015 06:25,Y, , ,1, , 52111,4,BURGLARY-BUSINESS/DAY/FORCE ENT/OCCUPIED,701,N 15TH ST,36,CITY MUSEUM, ,701,15TH,905704.1,1019717
15-033032,2015-07,07/04/2015 07:15,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,EUGENE AVE / GERMANIA ST,4, ,RIVER DES PERES, , ,885906.4,990677.3
15-033434,2015-07,07/04/2015 08:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,5451,EICHELBERGER ST,7, , ,5451,EICHELBERGER,881101.5,1000850
15-033068,2015-07,07/04/2015 08:00,Y, , ,1, , 51121,6,BURGLARY-RESIDENCE/DAY/UNLAW ENT/OCCUPIED,8549,MORA LN,73, ,SINGLE FAMILY HOME,8549,MORA,891824.3,1049394
15-033036,2015-07,07/04/2015 09:00,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,0,CARONDELET BLVD / I 55 SOUTHBO,1, , , , ,885635.8,990400.6
15-033286,2015-07,07/04/2015 09:00,Y, , ,1, ,263299,6,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,800,HARLAN AVE,74, , ,800,HARLAN,897595.9,1051820
15-034932,2015-07,07/04/2015 09:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,3109,MOUNT PLEASANT ST,17, , ,3109,MOUNT PLEASANT,894728.6,997678.5
15-033037,2015-07,07/04/2015 09:19,Y, , ,1, ,250000,4,LOITERING-BEGGING,50,S GRAND BLVD,37, , , , ,896288.4,1019968
15-033042,2015-07,07/04/2015 09:50,Y, , ,1, , 91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3605,S BROADWAY,18, ,@PHILLIP 66 - S BROADWAY, , ,900384.8,1003749
15-034016,2015-07,07/04/2015 10:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3813,DOVER PL,3, , ,3813,DOVER,888713.4,996334.3
15-033055,2015-07,07/04/2015 10:00,Y, , ,1, , 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,5531,PLOVER AVE,72, , ,5531,PLOVER,892685.9,1044323
15-033041,2015-07,07/04/2015 10:08,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,2316,VIRGINIA AVE,25, , ,2316,VIRGINIA,895973.6,1010528
15-033081,2015-07,07/04/2015 10:30,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,2633,MCNAIR AVE,22, , ,2633,MCNAIR,900291,1008572
15-033681,2015-07,07/04/2015 11:00,Y, , ,1, , 64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",858,NASSAU DR,74, , ,858,NASSAU,896941.8,1052130
15-033165,2015-07,07/04/2015 11:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4050,LINCOLN AVE,56, , ,4050,LINCOLN,896632.7,1028362
15-033054,2015-07,07/04/2015 11:15,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2622,CHIPPEWA ST,16, , ,2220,CHIPPEWA,897956,1002337
15-033051,2015-07,07/04/2015 11:30,Y, , ,1, , 63701,4,LARCENY-SHOPLIFT UNDER $500,1403,N GRAND BLVD,59,CITY GEAR, ,1403,GRAND,898212.6,1024646
15-033382,2015-07,07/04/2015 12:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,2028,E OBEAR AVE,66, , ,2028,OBEAR,903209.7,1033402
15-034404,2015-07,07/04/2015 12:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,5059,MILENTZ AVE,6, , ,5059,MILENTZ,881914.9,999788.1
15-033058,2015-07,07/04/2015 12:35,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,626,N KINGSHIGHWAY BLVD,38, ,@TACO BELL - 626 N KINGSHIGHWAY,626,KINGSHIGHWAY,887855.3,1026074
15-033457,2015-07,07/04/2015 13:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5901,WATERMAN BLVD,46, , ,5901,WATERMAN,879559.8,1025730
15-033065,2015-07,07/04/2015 13:00,Y, , ,1, , 43015,6,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,0,W FLORISSANT AVE / GOODFELLOW,76, , ,4014,UNION,890122.3,1048565
15-035122,2015-07,07/04/2015 13:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,0,@TOWER GROVE PARK : XY(8897284,81,TOWER GROVE PARK, ,4375,CHIPPEWA,889728.5,1009955
15-033059,2015-07,07/04/2015 13:01,Y, , ,1, , 51122,4,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,1106,N 9TH ST,62, , ,1106,9TH,908447.4,1020404
15-033063,2015-07,07/04/2015 13:30,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4660,VIRGINIA AVE,16, ,SIDEWALK/STREET, , ,893610.4,997495.4
15-033166,2015-07,07/04/2015 13:30,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5150,CATES AVE,51, , ,5150,CATES,886346.4,1027541
15-033060,2015-07,07/04/2015 13:37,Y, , ,1, ,263299,6,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,E ASHLAND AVE / LAMBDIN AVE,56, , , , ,896096.6,1031456
15-033074,2015-07,07/04/2015 14:15,Y, , ,1, , 63701,5,LARCENY-SHOPLIFT UNDER $500,3431,UNION BLVD,50,SCHNUCKS, ,3431,UNION,888884.8,1036000
15-033069,2015-07,07/04/2015 14:30,Y, , ,1, ,250000,4,LOITERING-BEGGING,600,CLARK AVE,35, , , , ,908504.1,1015938
15-033318,2015-07,07/04/2015 14:30,Y, , ,1, , 43015,5,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,5927,HIGHLAND AVE,50, , , , ,882816.4,1035800
15-033075,2015-07,07/04/2015 14:55,Y, , ,1, , 63701,1,LARCENY-SHOPLIFT UNDER $500,6155,S GRAND BLVD,1,FAMILY DOLLAR, ,6155,GRAND,889468,994413.8
15-033179,2015-07,07/04/2015 15:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5572,NATURAL BRIDGE AVE,50,ALL ABOUT CHILDREN DAYCARE, ,5572,NATURAL BRIDGE,886936.6,1037414
15-033642,2015-07,07/04/2015 15:00,Y, , ,1, , 69602,4,"LARCENY-ALL OTHER $500 - $24,999",700,CLARK AVE,35,BUSCH STADIUM, ,700,CLARK,907901.1,1016212
15-033082,2015-07,07/04/2015 15:00,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",550,CARR ST,62, ,PARKING LOT, , ,909393.2,1020117
15-033079,2015-07,07/04/2015 15:00,Y, , ,1, , 42011,5,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,5085,DR MARTIN LUTHER KING DR,51, , ,5084,DR MARTIN LUTHER KING,887401.3,1030810
15-033458,2015-07,07/04/2015 15:18,Y, , ,1, , 64701,0,LARCENY-FROM MTR VEH UNDER $500,0,UNKNOWN,0, , ,5804,DEGIVERVILLE,0,0
15-033235,2015-07,07/04/2015 15:30,Y, , ,1, , 52322,3,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,3359,S JEFFERSON AVE,19,FOAM, ,3359,JEFFERSON,898561.7,1005044
15-035167,2015-07,07/04/2015 15:30,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4451,FOREST PARK AVE,38,PARKVIEW APTS, ,4451,FOREST PARK,889537.3,1021388
15-033078,2015-07,07/04/2015 15:30,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4704,FARLIN AVE,69, ,INSIDE RESIDENCE S TV ROOM,4704,FARLIN,893745.4,1035115
15-033073,2015-07,07/04/2015 15:39,Y, , ,1, ,103000,2,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1,FINE ARTS DR,82, , ,1,FINE ARTS,878856.8,1021748
15-033085,2015-07,07/04/2015 15:43,Y, , ,1, , 43011,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 1ST DEGREE,0,RIVERVIEW DR / WB 270,75, , , , ,910845.4,1068605
15-033467,2015-07,07/04/2015 16:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4345,WASHINGTON AVE,38, , ,4345,WASHINGTON,891668.3,1024799
15-033077,2015-07,07/04/2015 16:09,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,6228,BERTHOLD AVE,42, , ,6228,BERTHOLD,880448.3,1018167
15-034618,2015-07,07/04/2015 16:12,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,3032,JAMES COOL PAPA BELL AVE,59, ,BACKYARD,3032,JAMES COOL PAPA BELL,899847.8,1022973
15-033084,2015-07,07/04/2015 16:15,Y, , ,1, , 91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1576,MCLARAN AVE,73, , , , ,893329.1,1049918
15-033098,2015-07,07/04/2015 16:45,Y, , ,1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5805,SELBER CT,50, , ,5805,SELBER,884807.3,1037849
15-034414,2015-07,07/04/2015 16:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5805,SELBER CT,50,HILLVALE APARTMENTS COMPLEX,NUISANCE ABATEMENT PROPERTY,5805,SELBER,884807.3,1037849
15-033177,2015-07,07/04/2015 17:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,700,S EWING AVE,37, , ,700,EWING,899344.7,1016964
15-033498,2015-07,07/04/2015 17:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5208,WABADA AVE,52, , ,5208,WABADA,887936.4,1032445
15-033153,2015-07,07/04/2015 17:00,Y, , ,1, , 51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4027,PALM ST,56, , ,4027,PALM,898355.1,1030968
15-033404,2015-07,07/04/2015 17:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4866,PENROSE ST,69, , ,4866,PENROSE,893230.5,1036497
15-033248,2015-07,07/04/2015 17:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1019,N SKINKER BLVD,48, , ,1019,SKINKER,878085.3,1029558
15-035186,2015-07,07/04/2015 17:00,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,5208,WABADA AVE,52, , ,5208,WABADA,887936.4,1032445
15-033091,2015-07,07/04/2015 17:15,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN,2017,E OBEAR AVE,66, , ,2017,OBEAR,903209.7,1033402
15-033092,2015-07,07/04/2015 17:20,Y, , ,1, , 91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,4000,S COMPTON AVE,16, , , , ,895069.8,1001203
15-033093,2015-07,07/04/2015 17:30,Y, , ,1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,1000,HAMPTON AVE,41, ,INTERSTATE I-40 AND HAMPTON, , ,881153.4,1018521
15-033093,2015-07,07/04/2015 17:30,Y, , ,1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,1000,HAMPTON AVE,41, ,INTERSTATE I-40 AND HAMPTON, , ,881153.4,1018521
15-033237,2015-07,07/04/2015 18:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2340,MARKET ST,36,HOTEL- COURTYARD BY MARRIOTT, ,2340,MARKET,901627.6,1018357
15-033100,2015-07,07/04/2015 18:00,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2801,LOCUST ST,37, ,REAR,2801,LOCUST,900688,1020302
15-033289,2015-07,07/04/2015 18:00,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3915,OLIVE ST,38, , ,3915,OLIVE,894624.9,1022655
15-033167,2015-07,07/04/2015 18:00,Y, , ,1, , 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1604,S 13TH ST,33, ,APT B,1604,13TH,904197.3,1012568
15-033100,2015-07,07/04/2015 18:00, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2801,LOCUST ST,37, ,REAR,2801,LOCUST,900688,1020302
15-033097,2015-07,07/04/2015 18:07,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,210,N SKINKER BLVD,46, , , , ,877249.4,1025111
15-033102,2015-07,07/04/2015 18:15,Y, , ,1, , 41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3425,TENNESSEE AVE,30, ,DOWNSTAIRS,3425,TENNESSEE,894289.6,1005332
15-033186,2015-07,07/04/2015 18:30,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,6013,GOVERNMENT DR,82, , , , ,882132.2,1022184
15-033186,2015-07,07/04/2015 18:30, , , ,-1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,6013,GOVERNMENT DR,82, , , , ,882132.2,1022184
15-033119,2015-07,07/04/2015 18:50,Y, , ,1, , 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,5005,S BROADWAY,17,MOUNT PLEASANT, ,5005,BROADWAY,894881.5,995385.6
15-033101,2015-07,07/04/2015 18:54,Y, , ,1, ,250000,4,LOITERING-BEGGING,315,N 9TH ST,35,CULINARIA,STREET/SIDEWALK,315,9TH,907779.2,1018012
15-033175,2015-07,07/04/2015 19:00,Y, , ,1, , 51212,3,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,3405,CHIPPEWA ST,19, , ,3405,CHIPPEWA,894382.2,1003083
15-033264,2015-07,07/04/2015 19:00,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4536,ARCO AVE,39, ,GARAGE,4536,ARCO,888036.9,1017859
15-033103,2015-07,07/04/2015 19:00,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,5148,PALM ST,52, , ,5152,PALM,889805,1035421
15-033272,2015-07,07/04/2015 19:00,Y, , ,1, , 65601,4,"LARCENY-MTR VEH PARTS $500 - $24,999",1520,WASHINGTON AVE,36, , ,1520,WASHINGTON,905250.6,1019322
15-033108,2015-07,07/04/2015 19:00,Y, , ,1, ,266510,6,PUBLIC ORDER-TRESPASSING,4249,RED BUD AVE,68, ,APT A,4249,RED BUD,898054.1,1034564
15-033104,2015-07,07/04/2015 19:04,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1400,LASALLE ST,33,CLINTON-PEABODY HOUSING COMPLEX, ,1400,LASALLE,904482.8,1014212
15-033104,2015-07,07/04/2015 19:04,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1400,LASALLE ST,33,CLINTON-PEABODY HOUSING COMPLEX, ,1400,LASALLE,904482.8,1014212
15-033104,2015-07,07/04/2015 19:04,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1400,LASALLE ST,33,CLINTON-PEABODY HOUSING COMPLEX, ,1400,LASALLE,904482.8,1014212
15-033105,2015-07,07/04/2015 19:16,Y, , ,1, ,250000,4,LOITERING-BEGGING,1001,WASHINGTON AVE,35, , , , ,907631,1018936
15-033227,2015-07,07/04/2015 19:30,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,814,N 19TH ST,36, ,@CENTER FOR MANAGEMENT,814,19TH,904290.5,1020354
15-037946,2015-07,07/04/2015 19:30,Y, , ,1, , 51222,2,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED,3843,RUSSELL AVE,27, , ,3843,RUSSELL,893238.2,1012555
15-033106,2015-07,07/04/2015 19:35,Y, , ,1, ,250000,4,LOITERING-BEGGING,300,CARR ST,35, ,NEAR CROSSWALK, , ,910117.3,1019851
15-033113,2015-07,07/04/2015 19:45,Y, , ,1, , 42013,4,AGG.ASSAULT-KNIFE/CITIZEN ADULT 3RD DEGREE,541,N GRAND BLVD,77, ,CITY DINER,541,GRAND,896812.9,1021541
15-033114,2015-07,07/04/2015 19:49,Y, , ,1, ,265100,2,SAFETY-FIREWORKS VIOLATION,1,FINE ARTS DR,82, ,@FOREST PARK - IN FRONT OF ART MUSEU, , ,878856.8,1021748
15-033242,2015-07,07/04/2015 20:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1627,LOCUST ST,36, , ,1627,LOCUST,904826.6,1019237
15-033116,2015-07,07/04/2015 20:05,Y, , ,1, , 63701,3,LARCENY-SHOPLIFT UNDER $500,2500,S JEFFERSON AVE,23, ,@FAMILY DOLLAR,2500,JEFFERSON,899523.3,1009801
15-033112,2015-07,07/04/2015 20:10,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,CHIPPEWA ST / S KINGSHIGHWAY B,5, , , , ,885013.8,1004274
15-033110,2015-07,07/04/2015 20:12,Y, , ,1, ,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,100,N TUCKER BLVD,35, , , , ,906644.9,1017813
15-033123,2015-07,07/04/2015 20:20,Y, , ,1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,5751,LAGOON DR,82, ,@FESTIVAL ZONE, , ,880773.9,1022751
15-033123,2015-07,07/04/2015 20:20,Y, , ,1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,5751,LAGOON DR,82, ,@FESTIVAL ZONE, , ,880773.9,1022751
15-033271,2015-07,07/04/2015 20:30,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5047,ROSA AVE,6, , ,5047,ROSA,882699.3,1000321
15-033121,2015-07,07/04/2015 20:30,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,3811,DELOR ST,16, ,APT A,3811,DELOR,890395.6,998367.9
15-033118,2015-07,07/04/2015 20:43,Y, , ,1, ,250000,4,LOITERING-BEGGING,799,N 4TH ST,35, ,CITY STREET, , ,909712,1018864
15-033130,2015-07,07/04/2015 20:45,Y, , ,1, , 43012,1,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,4417,TENNESSEE AVE,16, , ,4417,TENNESSEE,892948.9,999295.5
15-033124,2015-07,07/04/2015 20:50,Y, , ,1, , 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,5966,LALITE AVE,76, , ,5966,LALITE,889150.3,1044568
15-033120,2015-07,07/04/2015 20:52,Y, , ,1, ,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,601,N 6TH ST,35, ,STREET/SIDEWALK,601,9TH,908702.8,1018251
15-033126,2015-07,07/04/2015 20:55,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,500,COLE ST,35, , ,500,COLE,909632.1,1019686
15-033122,2015-07,07/04/2015 21:00,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,N KINGSHIGHWAY BLVD / SAINT LO,55, ,ALIAS N KINGSHIGHWAY BLVD/ST LOUIS A, , ,890079.4,1033431
15-033138,2015-07,07/04/2015 21:00,Y, , ,1, , 92000,1,SIMPLE ASSAULT-HARRASSMENT,4219,BEETHOVEN AVE,5,BEVO MILL, ,4219,BEETHOVEN,887801.3,1002742
15-033233,2015-07,07/04/2015 21:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,965,GOODFELLOW BLVD,48, , ,965,GOODFELLOW,881354,1029239
15-036924,2015-07,07/04/2015 21:00,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,4027,OHIO AVE,16, , ,4027,OHIO,897262.9,1000902
15-033135,2015-07,07/04/2015 21:00,Y, , ,1, , 91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",0,FINE ARTS DR / GOVERNMENT DR,82,ART HILL,FAIR ST. LOUIS, , ,880203.1,1020936
15-033132,2015-07,07/04/2015 21:00,Y, , ,1, , 91303,2,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,1,FINE ARTS DR,82, , ,1,ART HIL,878856.8,1021748
15-033241,2015-07,07/04/2015 21:00,Y, , ,1, , 69602,2,"LARCENY-ALL OTHER $500 - $24,999",206,FINE ARTS DR,82, , , , ,878561.8,1022913
15-033128,2015-07,07/04/2015 21:00,Y, , ,1, ,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,1100,WASHINGTON AVE,35, , ,1100,WASHINGTON,907252.9,1018795
